transaction_key,account_key,secondary_account_key,transaction_type_code,country_code_2,currency_code,counterparty_account_key,branch_key,sub_account_key,amount,transaction_ts
TXN-GEN-000000001,ACCT-00001,-1,110,EE,MZN,CP-990,BR-054,-1,13764.46,2025-01-06T08:20:53Z
TXN-GEN-000000002,ACCT-00001,-1,110,NG,ZAR,CP-990,BR-052,-1,12040.55,2025-01-25T08:24:34Z
TXN-GEN-000000003,ACCT-00001,-1,90,ST,GHS,CP-889,BR-069,-1,329.72,2025-01-27T18:10:34Z
TXN-GEN-000000004,ACCT-00001,-1,100,TT,XCD,CP-889,BR-040,-1,2709.02,2025-01-17T01:41:05Z
TXN-GEN-000000005,ACCT-00001,-1,130,TK,SDG,CP-990,BR-077,-1,7621.65,2025-01-04T23:22:41Z
TXN-GEN-000000006,ACCT-00001,-1,90,VA,MGA,CP-889,BR-056,-1,4070.62,2025-01-20T20:08:23Z
TXN-GEN-000000007,ACCT-00001,-1,120,SA,MOP,CP-889,BR-062,-1,798.74,2025-01-28T18:04:55Z
TXN-GEN-000000008,ACCT-00001,-1,120,TN,NPR,CP-889,BR-015,-1,11621.26,2025-01-29T03:50:18Z
TXN-GEN-000000009,ACCT-00001,-1,100,GW,BMD,CP-902,BR-009,-1,2644.05,2025-01-13T01:36:17Z
TXN-GEN-000000010,ACCT-00001,-1,110,SZ,UAH,CP-990,BR-071,-1,11219.15,2025-01-10T08:34:01Z
TXN-GEN-000000011,ACCT-00001,-1,90,UZ,MNT,CP-902,BR-022,-1,3299.65,2025-01-13T03:28:18Z
TXN-GEN-000000012,ACCT-00002,-1,70,GS,AOA,CP-902,BR-035,-1,3771.28,2025-01-03T10:58:59Z
TXN-GEN-000000013,ACCT-00002,-1,140,CU,LBP,CP-902,BR-010,-1,832.99,2025-01-31T17:37:02Z
TXN-GEN-000000014,ACCT-00002,-1,140,LV,ZAR,CP-889,BR-052,-1,9325.33,2025-01-02T00:04:20Z
TXN-GEN-000000015,ACCT-00002,-1,140,CM,GHS,CP-902,BR-020,-1,12251.40,2025-01-29T15:34:14Z
TXN-GEN-000000016,ACCT-00002,-1,80,MC,LAK,CP-902,BR-041,-1,270.13,2025-01-11T07:27:07Z
TXN-GEN-000000017,ACCT-00002,-1,70,BI,ZMW,CP-902,BR-033,-1,4631.28,2025-01-08T20:06:10Z
TXN-GEN-000000018,ACCT-00002,-1,130,BG,TTD,CP-990,BR-031,-1,1148.38,2025-01-24T07:32:13Z
