transaction_key,account_key,secondary_account_key,transaction_type_code,country_code_2,currency_code,counterparty_account_key,branch_key,sub_account_key,amount,transaction_ts
TXN-GEN-000000001,ACCT-00001,-1,130,CR,JPY,CP-902,BR-002,-1,1976.29,2025-01-18T09:11:35Z
TXN-GEN-000000002,ACCT-00001,-1,80,AM,CHF,CP-889,BR-064,-1,2286.06,2025-01-31T02:32:21Z
TXN-GEN-000000003,ACCT-00001,-1,110,RE,PKR,CP-902,BR-008,-1,7701.69,2025-01-01T22:48:42Z
TXN-GEN-000000004,ACCT-00001,-1,80,NR,ETB,CP-990,BR-028,-1,2953.83,2025-01-02T17:08:19Z
TXN-GEN-000000005,ACCT-00001,-1,100,HK,UYI,CP-902,BR-085,-1,3803.74,2025-01-28T10:53:23Z
TXN-GEN-000000006,ACCT-00001,-1,100,KR,EUR,CP-990,BR-062,-1,446.97,2025-01-28T19:34:35Z
TXN-GEN-000000007,ACCT-00001,-1,140,CG,FJD,CP-889,BR-069,-1,10143.97,2025-01-22T17:19:07Z
TXN-GEN-000000008,ACCT-00001,-1,100,BQ,BWP,CP-889,BR-055,-1,994.13,2025-01-26T05:55:21Z
TXN-GEN-000000009,ACCT-00001,ACCT-00146,50,FK,VES,CP-902,BR-014,-1,18804.87,2025-01-14T09:03:21Z
TXN-GEN-000000010,ACCT-00001,-1,100,UA,RUB,CP-990,BR-028,-1,2719.94,2025-01-15T00:06:30Z
TXN-GEN-000000011,ACCT-00001,-1,90,SJ,CLP,CP-990,BR-064,-1,553.49,2025-01-08T06:13:07Z
TXN-GEN-000000012,ACCT-00001,-1,80,VA,VES,CP-889,BR-050,-1,2736.49,2025-01-16T22:27:11Z
TXN-GEN-000000013,ACCT-00001,-1,70,AX,XBC,CP-902,BR-051,-1,4875.53,2025-01-22T19:29:16Z
TXN-GEN-000000014,ACCT-00001,ACCT-00042,50,DE,BMD,CP-990,BR-057,-1,13759.75,2025-01-11T22:52:53Z
TXN-GEN-000000015,ACCT-00001,ACCT-00089,60,HN,SLE,CP-889,BR-005,-1,19489.10,2025-01-01T18:36:16Z
TXN-GEN-000000016,ACCT-00001,ACCT-00068,60,SB,RWF,CP-902,BR-028,-1,10988.07,2025-01-23T14:52:48Z
TXN-GEN-000000017,ACCT-00001,ACCT-00027,60,CI,ZMW,CP-990,BR-072,-1,10602.95,2025-01-28T00:10:59Z
TXN-GEN-000000018,ACCT-00001,-1,80,CH,AMD,CP-902,BR-044,-1,518.06,2025-01-13T06:50:20Z
TXN-GEN-000000019,ACCT-00001,-1,110,PH,OMR,CP-889,BR-089,-1,13430.35,2025-01-09T00:20:22Z
TXN-GEN-000000020,ACCT-00001,-1,80,IN,KYD,CP-990,BR-079,-1,1490.36,2025-01-27T11:54:04Z
TXN-GEN-000000021,ACCT-00002,-1,100,JE,IQD,CP-889,BR-085,-1,3649.14,2025-01-28T03:41:45Z
TXN-GEN-000000022,ACCT-00002,ACCT-00087,60,BQ,IDR,CP-990,BR-061,-1,13786.43,2025-01-28T06:48:08Z
