node_id,node_type,name,source_id,countries,country_codes,jurisdiction,jurisdiction_description,status,valid_until,note,original_name,former_name,address,company_type,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,service_provider,ibcRUC
10000104,entity,REGAL ADVISORS LTD.,Panama Papers,Switzerland,CHE,SAM,Samoa,Dissolved,The Panama Papers data is current through 2015,,REGAL ADVISORS LTD.,,GMG CAPITAL SA PO BOX 3272 1211 GENEVE 3 SWITZERLAND,,1001921,27-OCT-2006,29-DEC-2014,15-FEB-2016,,Mossack Fonseca,R28632
10000202,entity,PILLOW LIMITED,Panama Papers,Switzerland,CHE,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,PILLOW LIMITED,,FIDINAM (GENEVE) S.A. CASE POSTALE 27 1211 GENEVE 21 SWITZERLAND,,1001085,12-APR-2006,18-FEB-2013,15-FEB-2013,,Mossack Fonseca,R25522
10000220,entity,GILANDER INTERNATIONAL LIMITED,Panama Papers,Taiwan,TWN,SAM,Samoa,Active,The Panama Papers data is current through 2015,,GILANDER INTERNATIONAL LIMITED,,DI SAN DI MANAGEMENT COMPANY LIMITED 7F- 4; NO.50; SEC. 1; XINSHENG S. RD.; TAIPEI; TAIWAN,,1000622,11-JUL-2005,,,,Mossack Fonseca,21885
10000732,entity,ESINSA S.A.,Panama Papers,United Kingdom,GBR,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,ESINSA S.A.,,HOLLINGWORTH CONSULTANTS LTD. PARKVIEW HOUSE BUCCLEUCH ROAD HAWICK; ROXBURGHSHIRE SCOTLAND; TD9 0EL,,1002169,23-JAN-2007,,15-FEB-2014,,Mossack Fonseca,R30576
10000794,entity,OMNI TRADING CORPORATION,Panama Papers,Ecuador,ECU,SAM,Samoa,Active,The Panama Papers data is current through 2015,,OMNI TRADING CORPORATION,,"ARIZAGA & CO. AV. 12 DE OCTUBRE N24-660 Y FRANCISCO SALAZAR EDIFICIO CONCORDE, PISO 11 QUITO - ECUADOR",,1002557,19-FEB-2007,,,,Mossack Fonseca,R30945
10001045,entity,NORWAY DEVELOPMENT CORP.,Panama Papers,Brazil,BRA,SAM,Samoa,Active,The Panama Papers data is current through 2015,,NORWAY DEVELOPMENT CORP.,,BRUNO BROS CONSULTING LTDA. RUA ANDRE AMPERE; 153 18º ANDAR   CEP 04562-080 SAO PAULO; SP; BRAZIL,,1002392,16-JAN-2007,,,,Mossack Fonseca,R30455
10001362,entity,BOSS INTERNATIONAL HOLDINGS LTD.,Panama Papers,Hong Kong,HKG,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,BOSS INTERNATIONAL HOLDINGS LTD.,,DICKSON INDUSTRIAL CO. LTD. BLOCK A-C; 4/F WING HIN FTY. BLDG. 31-33 NG FONG STREET SAN PO KONG; KOWLOON HONG KONG,,1001433,10-AUG-2006,20-FEB-2010,15-FEB-2010,,Mossack Fonseca,R27398
10001441,entity,LONG RIVER DEVELOPMENT LIMITED,Panama Papers,Hong Kong,HKG,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,LONG RIVER DEVELOPMENT LIMITED,,ASIA BUSINESS SECRETARIAL 16/F; TAK SHING HOUSE; THEATRE LANE; 20 DES VOEUX ROAD CENTRAL; HONG KONG **S.I.**,,1001755,29-DEC-2006,15-FEB-2012,15-FEB-2012,,Mossack Fonseca,R29625
10001460,entity,ORPUS CORPORATION,Panama Papers,Switzerland,CHE,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,ORPUS CORPORATION,,"STEVAL MANAGEMENT S.A. CASE POSTALE 3106  1211 GENEVE 3,  SWITZERLAND",,1001720,14-SEP-2006,19-FEB-2008,15-FEB-2008,,Mossack Fonseca,R27979
10002056,entity,GuangZhou Kai Tian Sport Tool Factory Limited,Panama Papers,Hong Kong,HKG,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,GuangZhou Kai Tian Sport Tool Factory Limited,,"LENNOX BUSINESS CONSULTANTS LTD 19TH FLOOR, CAMERON COMMERCIAL CENTRE 468 HENNESSY ROAD CAUSEWAY BAY HONG KONG",,1001454,10-JUL-2006,16-FEB-2009,15-FEB-2009,,Mossack Fonseca,R26930
