transaction_key,account_key,secondary_account_key,transaction_type_code,country_code_2,currency_code,counterparty_account_key,branch_key,sub_account_key,amount,transaction_ts
TXN-EXT-900000001,ACCT-00001,NA,20,MV,USD,CP-700001,NA,,45713.04,2025-01-23T16:55:42Z
TXN-EXT-900000002,ACCT-00001,NA,10,NO,USD,CP-700002,NA,,41733.80,2025-01-09T18:41:46Z
TXN-EXT-900000003,ACCT-00001,NA,20,IM,USD,CP-700003,NA,,143572.81,2025-01-04T22:37:44Z
TXN-EXT-900000004,ACCT-00001,NA,30,US,USD,CP-700004,NA,,7022.07,2025-01-05T15:24:40Z
TXN-EXT-900000005,ACCT-00001,NA,20,AG,USD,CP-700005,NA,,32500.51,2025-01-04T05:14:08Z
TXN-EXT-900000006,ACCT-00002,NA,20,BT,USD,CP-700006,NA,,61831.44,2025-01-01T15:25:41Z
TXN-EXT-900000007,ACCT-00002,NA,40,US,USD,CP-700007,NA,,18341.04,2025-01-12T06:41:39Z
TXN-EXT-900000008,ACCT-00002,NA,20,CK,USD,CP-700008,NA,,105033.66,2025-01-07T12:01:07Z
TXN-EXT-900000009,ACCT-00002,NA,10,FO,USD,CP-700009,NA,,73088.98,2025-01-22T07:30:29Z
TXN-EXT-900000010,ACCT-00002,NA,20,TV,USD,CP-700010,NA,,128184.89,2025-01-24T10:02:45Z
TXN-EXT-900000011,ACCT-00004,NA,40,US,USD,CP-700011,NA,,18571.51,2025-01-22T11:46:40Z
TXN-EXT-900000012,ACCT-00004,NA,40,US,USD,CP-700012,NA,,20507.04,2025-01-13T09:30:59Z
TXN-EXT-900000013,ACCT-00006,NA,10,CR,USD,CP-700013,NA,,1161.98,2025-01-01T05:21:30Z
TXN-EXT-900000014,ACCT-00006,NA,30,US,USD,CP-700014,NA,,2714.40,2025-01-19T08:00:06Z
TXN-EXT-900000015,ACCT-00006,NA,40,US,USD,CP-700015,NA,,19564.03,2025-01-15T22:36:43Z
TXN-EXT-900000016,ACCT-00007,NA,40,US,USD,CP-700016,NA,,1466.88,2025-01-04T08:34:17Z
TXN-EXT-900000017,ACCT-00007,NA,40,US,USD,CP-700017,NA,,10404.91,2025-01-08T01:34:25Z
TXN-EXT-900000018,ACCT-00008,NA,10,GE,USD,CP-700018,NA,,113822.49,2025-01-17T14:55:17Z
TXN-EXT-900000019,ACCT-00008,NA,40,US,USD,CP-700019,NA,,7056.27,2025-01-29T18:27:54Z
TXN-EXT-900000020,ACCT-00009,NA,30,US,USD,CP-700020,NA,,9512.72,2025-01-09T13:19:25Z
TXN-EXT-900000021,ACCT-00009,NA,30,US,USD,CP-700021,NA,,7762.18,2025-01-07T06:57:26Z
TXN-EXT-900000022,ACCT-00009,NA,30,US,USD,CP-700022,NA,,3026.95,2025-01-02T20:27:56Z
TXN-EXT-900000023,ACCT-00010,NA,30,US,USD,CP-700023,NA,,20398.47,2025-01-31T15:37:17Z
TXN-EXT-900000024,ACCT-00010,NA,20,SO,USD,CP-700024,NA,,34852.52,2025-01-16T12:07:47Z
TXN-EXT-900000025,ACCT-00011,NA,40,US,USD,CP-700025,NA,,2655.41,2025-01-27T16:22:58Z
TXN-EXT-900000026,ACCT-00011,NA,30,US,USD,CP-700026,NA,,10266.78,2025-01-09T12:50:17Z
TXN-EXT-900000027,ACCT-00011,NA,40,US,USD,CP-700027,NA,,10476.35,2025-01-27T11:45:49Z
TXN-EXT-900000028,ACCT-00012,NA,10,ME,USD,CP-700028,NA,,25038.42,2025-01-18T19:33:38Z
TXN-EXT-900000029,ACCT-00012,NA,40,US,USD,CP-700029,NA,,21938.94,2025-01-13T05:45:28Z
TXN-EXT-900000030,ACCT-00012,NA,30,US,USD,CP-700030,NA,,24720.48,2025-01-27T13:38:31Z
TXN-EXT-900000031,ACCT-00012,NA,30,US,USD,CP-700031,NA,,12100.86,2025-01-26T19:41:31Z
TXN-EXT-900000032,ACCT-00013,NA,30,US,USD,CP-700032,NA,,1205.15,2025-01-07T06:15:33Z
TXN-EXT-900000033,ACCT-00013,NA,10,LI,USD,CP-700033,NA,,30577.51,2025-01-22T21:10:56Z
TXN-EXT-900000034,ACCT-00013,NA,40,US,USD,CP-700034,NA,,8735.94,2025-01-06T17:34:11Z
TXN-EXT-900000035,ACCT-00014,NA,30,US,USD,CP-700035,NA,,23052.06,2025-01-13T16:16:30Z
TXN-EXT-900000036,ACCT-00015,NA,40,US,USD,CP-700036,NA,,5649.32,2025-01-30T12:01:24Z
TXN-EXT-900000037,ACCT-00016,NA,10,GS,USD,CP-700037,NA,,10677.59,2025-01-26T18:01:59Z
TXN-EXT-900000038,ACCT-00016,NA,10,GY,USD,CP-700038,NA,,134427.15,2025-01-20T18:35:04Z
TXN-EXT-900000039,ACCT-00019,NA,40,US,USD,CP-700039,NA,,22098.83,2025-01-13T03:06:58Z
TXN-EXT-900000040,ACCT-00019,NA,30,US,USD,CP-700040,NA,,8363.18,2025-01-04T04:41:12Z
TXN-EXT-900000041,ACCT-00019,NA,30,US,USD,CP-700041,NA,,11606.50,2025-01-29T17:32:20Z
TXN-EXT-900000042,ACCT-00019,NA,30,US,USD,CP-700042,NA,,16692.32,2025-01-24T02:30:57Z
TXN-EXT-900000043,ACCT-00019,NA,10,TN,USD,CP-700043,NA,,82087.57,2025-01-02T16:58:12Z
TXN-EXT-900000044,ACCT-00020,NA,40,US,USD,CP-700044,NA,,13706.85,2025-01-05T13:53:12Z
TXN-EXT-900000045,ACCT-00020,NA,20,VI,USD,CP-700045,NA,,128116.57,2025-01-21T21:18:23Z
TXN-EXT-900000046,ACCT-00020,NA,40,US,USD,CP-700046,NA,,9924.44,2025-01-06T15:32:40Z
TXN-EXT-900000047,ACCT-00020,NA,30,US,USD,CP-700047,NA,,12733.69,2025-01-31T20:36:46Z
TXN-EXT-900000048,ACCT-00020,NA,30,US,USD,CP-700048,NA,,323.05,2025-01-10T03:18:00Z
TXN-EXT-900000049,ACCT-00020,NA,30,US,USD,CP-700049,NA,,12197.66,2025-01-20T10:21:09Z
TXN-EXT-900000050,ACCT-00022,NA,10,ID,USD,CP-700050,NA,,3526.99,2025-01-23T04:08:35Z
TXN-EXT-900000051,ACCT-00023,NA,40,US,USD,CP-700051,NA,,19259.86,2025-01-20T15:08:52Z
TXN-EXT-900000052,ACCT-00024,NA,40,US,USD,CP-700052,NA,,15648.28,2025-01-11T21:53:39Z
TXN-EXT-900000053,ACCT-00024,NA,30,US,USD,CP-700053,NA,,9968.21,2025-01-04T20:41:58Z
TXN-EXT-900000054,ACCT-00025,NA,40,US,USD,CP-700054,NA,,19055.16,2025-01-01T20:45:06Z
